SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,FLAG_MOBIL,REGION_POPULATION_RELATIVE,OWN_CAR_AGE
100064,0,Cash loans,F,N,N,0,67500.0,1,0.019101,
100068,0,Revolving loans,M,N,Y,0,81000.0,1,0.031329,
100069,0,Cash loans,M,Y,Y,1,360000.0,1,0.00733,10.0
100070,0,Cash loans,M,Y,Y,0,540000.0,1,0.032561,2.0
100071,0,Cash loans,F,N,Y,0,180000.0,1,0.018801,
100072,0,Cash loans,M,N,N,0,180000.0,1,0.010006,
100073,0,Cash loans,M,Y,Y,0,324000.0,1,0.01885,10.0
100075,0,Cash loans,F,N,N,0,112500.0,1,0.00496,
100076,0,Cash loans,M,Y,N,0,180000.0,1,0.028663,1.0
100077,0,Cash loans,M,N,Y,0,180000.0,1,0.072508,
100078,0,Cash loans,F,Y,Y,0,180000.0,1,0.028663,21.0
100079,0,Revolving loans,M,N,Y,0,225000.0,1,0.00733,
100080,0,Revolving loans,F,N,N,1,157500.0,1,0.010966,
100081,0,Cash loans,M,Y,N,0,180000.0,1,0.014519999999999996,20.0
100082,0,Cash loans,M,N,N,2,180000.0,1,0.01885,
100083,0,Cash loans,M,Y,Y,0,103500.0,1,0.009657,22.0
100084,0,Cash loans,M,N,Y,2,225000.0,1,0.02461,
100085,0,Cash loans,M,N,Y,1,157500.0,1,0.016612000000000002,
100086,0,Cash loans,F,N,Y,1,135000.0,1,0.019101,
100087,0,Cash loans,F,N,Y,1,202500.0,1,0.003069,
100088,0,Revolving loans,F,N,N,0,112500.0,1,0.0228,
100089,0,Cash loans,M,N,Y,0,135000.0,1,0.025164,
100093,0,Cash loans,F,N,Y,1,94500.0,1,0.028663,
100094,0,Cash loans,F,N,Y,0,108000.0,1,0.030755,
100095,0,Revolving loans,F,N,Y,2,67500.0,1,0.020246,
100096,1,Cash loans,F,N,Y,0,81000.0,1,0.028663,
100097,0,Cash loans,M,Y,Y,0,157500.0,1,0.035792000000000004,20.0
100098,0,Revolving loans,M,Y,N,0,225000.0,1,0.01885,1.0
100099,0,Cash loans,F,N,Y,0,360000.0,1,0.009175,
100100,0,Cash loans,M,Y,Y,2,202500.0,1,0.008019,65.0
100101,0,Cash loans,F,Y,Y,0,202500.0,1,0.072508,5.0
100102,0,Cash loans,F,N,N,1,126000.0,1,0.02461,
100103,0,Cash loans,F,N,Y,0,72000.0,1,0.009175,
100104,0,Cash loans,F,N,Y,0,90000.0,1,0.022625,
100105,0,Cash loans,F,N,Y,0,193500.0,1,0.031329,
100108,0,Cash loans,F,N,Y,3,171000.0,1,0.006629,
100110,0,Cash loans,M,Y,Y,3,135000.0,1,0.035792000000000004,21.0
100111,0,Cash loans,F,Y,N,1,112500.0,1,0.0228,17.0
100112,1,Cash loans,M,Y,Y,0,315000.0,1,0.030755,2.0
100113,0,Cash loans,M,Y,N,0,76500.0,1,0.028663,11.0
100114,0,Cash loans,F,N,Y,0,135000.0,1,0.030755,
100115,0,Cash loans,F,N,N,0,90000.0,1,0.028663,
100116,0,Cash loans,F,N,Y,0,243000.0,1,0.010006,
100118,0,Cash loans,F,N,Y,0,90000.0,1,0.026392,
100119,0,Revolving loans,F,N,Y,0,54000.0,1,0.015221,
100120,0,Cash loans,F,N,N,0,135000.0,1,0.019689,
100121,0,Cash loans,M,N,Y,0,126000.0,1,0.018209,
100122,0,Cash loans,F,N,N,1,76500.0,1,0.0228,
100123,0,Cash loans,F,N,N,0,103500.0,1,0.020246,
100124,0,Cash loans,M,N,Y,0,225000.0,1,0.072508,
100125,0,Cash loans,F,N,N,0,126000.0,1,0.009549,
100126,0,Revolving loans,M,N,Y,2,135000.0,1,0.04622,
100127,0,Cash loans,M,N,Y,0,112500.0,1,0.02461,
100129,0,Revolving loans,F,Y,Y,1,85500.0,1,0.018029,5.0
100130,1,Cash loans,F,N,Y,1,157500.0,1,0.007273999999999998,
100131,0,Cash loans,F,N,Y,0,270000.0,1,0.072508,
100132,0,Cash loans,F,N,Y,0,202500.0,1,0.032561,
100133,0,Cash loans,F,N,N,0,67500.0,1,0.002134,
100134,0,Revolving loans,F,N,N,0,202500.0,1,0.018634,
100135,0,Cash loans,M,N,Y,0,135000.0,1,0.00733,
100136,0,Cash loans,M,Y,N,1,157500.0,1,0.04622,9.0
100137,0,Cash loans,F,Y,Y,0,225000.0,1,0.020246,2.0
100138,0,Cash loans,M,Y,N,0,135000.0,1,0.04622,5.0
100139,0,Cash loans,F,N,N,1,157500.0,1,0.010276,
100140,0,Revolving loans,F,N,N,0,157500.0,1,0.030755,
100142,0,Cash loans,M,Y,Y,1,360000.0,1,0.018801,7.0
100143,0,Revolving loans,M,N,Y,0,162000.0,1,0.035792000000000004,
100144,0,Cash loans,F,N,N,0,112500.0,1,0.028663,
100145,0,Cash loans,F,Y,Y,1,202500.0,1,0.01885,8.0
100146,0,Cash loans,M,Y,Y,0,117000.0,1,0.00733,13.0
100147,0,Cash loans,F,N,Y,1,135000.0,1,0.003813,
100148,0,Cash loans,F,N,Y,0,247500.0,1,0.008575,
100149,0,Cash loans,M,Y,N,0,171000.0,1,0.030755,4.0
100151,0,Cash loans,M,N,N,0,135000.0,1,0.019101,
100152,0,Cash loans,F,N,Y,0,157500.0,1,0.010032,
100153,0,Cash loans,M,Y,Y,0,202500.0,1,0.031329,15.0
100154,0,Revolving loans,M,N,N,0,144000.0,1,0.030755,
100155,0,Cash loans,M,N,N,0,157500.0,1,0.015221,
100156,0,Cash loans,F,Y,N,2,157500.0,1,0.018209,65.0
100157,0,Cash loans,M,N,Y,0,180000.0,1,0.014519999999999996,
100158,0,Cash loans,M,N,N,0,180000.0,1,0.0228,
100159,0,Cash loans,F,N,Y,0,225000.0,1,0.003818,
100160,1,Cash loans,M,N,Y,0,292500.0,1,0.035792000000000004,
100161,0,Cash loans,F,N,Y,0,90000.0,1,0.007120000000000001,
100162,0,Cash loans,F,N,Y,0,112500.0,1,0.020246,
100163,0,Cash loans,F,N,Y,0,130500.0,1,0.018209,
100164,0,Cash loans,F,Y,N,1,450000.0,1,0.0105,3.0
100165,0,Cash loans,F,Y,Y,0,175500.0,1,0.01885,9.0
100166,0,Cash loans,F,N,Y,3,58500.0,1,0.025164,
100167,0,Cash loans,F,N,Y,0,180000.0,1,0.026392,
100173,0,Cash loans,F,N,N,0,117000.0,1,0.02461,
100174,0,Revolving loans,F,N,Y,2,180000.0,1,0.032561,
100175,0,Cash loans,F,N,Y,1,202500.0,1,0.010147,
100176,0,Cash loans,F,N,Y,0,135000.0,1,0.010006,
100177,0,Cash loans,M,N,N,1,112500.0,1,0.010643,
100178,0,Cash loans,F,N,Y,0,119250.0,1,0.008865999999999999,
100179,0,Cash loans,F,Y,N,0,202500.0,1,0.031329,4.0
100180,0,Cash loans,F,N,Y,1,315000.0,1,0.020713,
100181,1,Cash loans,F,N,Y,0,157500.0,1,0.022625,
100182,0,Revolving loans,F,N,Y,1,112500.0,1,0.020246,
100183,0,Cash loans,F,N,Y,0,103500.0,1,0.018634,
100185,0,Cash loans,M,N,Y,0,58500.0,1,0.018029,
100186,0,Cash loans,F,N,Y,0,117000.0,1,0.00702,
100188,0,Cash loans,F,N,N,1,225000.0,1,0.002506,
100189,0,Cash loans,F,N,Y,0,135000.0,1,0.020713,
100190,0,Cash loans,M,Y,N,0,162000.0,1,0.022625,3.0
100191,0,Cash loans,F,N,Y,0,112500.0,1,0.030755,
100192,1,Cash loans,F,N,N,0,111915.0,1,0.018801,
100193,0,Cash loans,F,Y,N,0,225000.0,1,0.020246,15.0
100194,0,Revolving loans,F,N,Y,2,157500.0,1,0.020246,
100195,0,Cash loans,M,Y,Y,0,90000.0,1,0.030755,8.0
100196,0,Cash loans,F,Y,Y,0,164250.0,1,0.018029,8.0
100197,0,Cash loans,F,N,N,2,157500.0,1,0.003813,
100198,0,Cash loans,M,Y,Y,1,135000.0,1,0.028663,1.0
100199,0,Cash loans,F,N,Y,0,112500.0,1,0.022625,
100200,0,Cash loans,F,N,N,0,216000.0,1,0.026392,
100201,0,Cash loans,F,N,Y,1,180000.0,1,0.035792000000000004,
100202,0,Cash loans,F,N,N,0,67500.0,1,0.019101,
100203,0,Cash loans,F,N,N,0,54000.0,1,0.010276,
100204,0,Cash loans,F,N,Y,1,81000.0,1,0.009334,
100205,0,Cash loans,F,N,Y,0,63000.0,1,0.018209,
100206,0,Cash loans,M,Y,N,1,157500.0,1,0.0228,12.0
100207,0,Cash loans,F,N,Y,0,157500.0,1,0.01885,
100208,0,Cash loans,M,N,N,1,180000.0,1,0.007114,
100209,1,Revolving loans,M,N,Y,3,180000.0,1,0.02461,
100210,0,Cash loans,F,N,Y,1,202500.0,1,0.005313,
100211,0,Cash loans,M,N,N,3,225000.0,1,0.006233,
100213,0,Cash loans,F,N,N,2,49500.0,1,0.031329,
100214,1,Cash loans,F,N,Y,1,202500.0,1,0.032561,
100215,0,Cash loans,F,Y,N,0,90000.0,1,0.025164,11.0
100216,0,Cash loans,F,N,N,0,90000.0,1,0.018209,
100217,0,Cash loans,F,N,N,0,180000.0,1,0.00496,
100218,0,Cash loans,M,Y,Y,0,337500.0,1,0.072508,3.0
100219,0,Cash loans,M,N,Y,1,315000.0,1,0.032561,
100220,0,Cash loans,F,N,Y,0,225000.0,1,0.003818,
100221,0,Cash loans,F,N,Y,0,225000.0,1,0.006629,
100224,0,Cash loans,F,Y,Y,2,225000.0,1,0.019689,7.0
100225,0,Cash loans,M,Y,N,2,157500.0,1,0.030755,7.0
100226,0,Revolving loans,F,N,N,2,112500.0,1,0.009657,
100227,0,Cash loans,M,N,N,0,292500.0,1,0.006207,
100228,0,Cash loans,F,N,N,1,121500.0,1,0.009657,
100229,0,Cash loans,F,N,Y,0,157500.0,1,0.010147,
100230,0,Revolving loans,F,N,N,0,135000.0,1,0.008473999999999999,
100231,0,Cash loans,M,Y,Y,1,108000.0,1,0.018634,9.0
100233,0,Cash loans,F,N,Y,0,216000.0,1,0.010966,
100234,0,Revolving loans,F,N,N,0,67500.0,1,0.003069,
100235,0,Cash loans,F,N,Y,0,135000.0,1,0.016612000000000002,
100236,0,Cash loans,M,Y,Y,0,112500.0,1,0.028663,21.0
100237,0,Cash loans,F,N,N,2,144000.0,1,0.010966,
100238,0,Cash loans,M,Y,Y,2,135000.0,1,0.035792000000000004,21.0
100239,0,Cash loans,F,N,Y,1,225000.0,1,0.010147,
100240,0,Cash loans,M,N,Y,2,135000.0,1,0.018029,
100242,0,Cash loans,M,Y,Y,0,90000.0,1,0.005144,11.0
100243,0,Cash loans,M,N,Y,0,112500.0,1,0.028663,
100244,0,Cash loans,M,N,N,1,247500.0,1,0.010006,
100246,1,Cash loans,F,N,Y,0,135000.0,1,0.008019,
100247,0,Cash loans,F,N,Y,0,225000.0,1,0.010147,
100248,0,Cash loans,F,N,Y,0,90000.0,1,0.007305,
100249,0,Cash loans,F,N,Y,2,67500.0,1,0.0105,
100250,0,Cash loans,F,Y,N,1,72000.0,1,0.010966,17.0
100251,0,Cash loans,M,Y,Y,0,202500.0,1,0.025164,12.0
100252,0,Cash loans,F,N,Y,0,225000.0,1,0.006629,
100254,0,Cash loans,M,Y,Y,0,292500.0,1,0.04622,2.0
100255,0,Cash loans,M,Y,Y,0,315000.0,1,0.04622,3.0
100257,0,Cash loans,F,N,Y,0,90000.0,1,0.018634,
100258,0,Cash loans,F,N,Y,0,135000.0,1,0.025164,
100259,0,Cash loans,M,Y,Y,0,180000.0,1,0.018209,25.0
100260,0,Cash loans,M,N,Y,0,180000.0,1,0.011657,
100261,0,Cash loans,F,N,Y,0,90000.0,1,0.026392,
100262,0,Cash loans,M,Y,Y,0,315000.0,1,0.008625,2.0
100263,0,Cash loans,F,N,Y,0,108000.0,1,0.009549,
100264,0,Cash loans,F,N,Y,0,121500.0,1,0.018209,
100265,0,Cash loans,F,N,Y,0,112500.0,1,0.019689,
100266,0,Cash loans,F,N,N,0,157500.0,1,0.032561,
100267,0,Cash loans,M,N,Y,0,225000.0,1,0.026392,
100268,0,Cash loans,F,N,N,0,85500.0,1,0.014464,
100269,0,Cash loans,M,N,Y,0,180000.0,1,0.010276,
100270,0,Revolving loans,F,N,Y,0,90000.0,1,0.032561,
100272,0,Revolving loans,F,N,Y,1,135000.0,1,0.010006,
100273,1,Cash loans,F,N,Y,0,157500.0,1,0.004849,
100274,0,Cash loans,M,Y,Y,0,308250.0,1,0.026392,6.0
100275,0,Cash loans,F,Y,Y,0,108000.0,1,0.019101,64.0
100276,0,Cash loans,F,Y,Y,0,135000.0,1,0.025164,22.0
100277,0,Cash loans,M,Y,N,0,67500.0,1,0.006008,13.0
100279,0,Cash loans,M,N,Y,0,180000.0,1,0.072508,
100281,0,Cash loans,F,N,Y,1,112500.0,1,0.025164,
100282,1,Revolving loans,F,Y,Y,0,73341.0,1,0.018801,11.0
100283,0,Cash loans,F,N,Y,0,135000.0,1,0.026392,
100284,0,Cash loans,M,Y,Y,2,180000.0,1,0.015221,2.0
100285,0,Revolving loans,F,N,Y,0,112500.0,1,0.028663,
100286,1,Cash loans,M,Y,Y,1,121500.0,1,0.014464,21.0
100287,0,Cash loans,F,N,Y,0,202500.0,1,0.026392,
100288,0,Cash loans,F,N,N,0,157500.0,1,0.010032,
100289,0,Cash loans,M,Y,N,0,202500.0,1,0.022625,0.0
100290,0,Cash loans,M,N,N,0,135000.0,1,0.022625,
100291,0,Cash loans,F,N,N,1,153000.0,1,0.015221,
100292,0,Cash loans,F,N,Y,0,202500.0,1,0.028663,
100293,0,Cash loans,F,N,Y,0,202500.0,1,0.019101,
100294,0,Cash loans,F,N,Y,0,157500.0,1,0.00963,
100295,1,Cash loans,M,Y,N,1,225000.0,1,0.072508,9.0
100296,0,Cash loans,M,N,Y,1,225000.0,1,0.04622,
100297,0,Cash loans,M,Y,N,0,135000.0,1,0.026392,9.0
100298,0,Cash loans,F,N,Y,0,270000.0,1,0.020713,
100299,0,Revolving loans,F,N,Y,0,112500.0,1,0.006008,
100300,1,Cash loans,M,N,N,0,63000.0,1,0.018634,
100301,1,Cash loans,M,N,Y,1,112500.0,1,0.022625,
100302,0,Cash loans,F,N,Y,0,180000.0,1,0.019689,
100303,0,Cash loans,F,N,Y,0,292500.0,1,0.016612000000000002,
100304,0,Revolving loans,F,N,Y,0,225000.0,1,0.008019,
100305,0,Cash loans,M,Y,Y,0,135000.0,1,0.020713,15.0
100307,0,Cash loans,M,N,Y,0,225000.0,1,0.01885,
100308,0,Cash loans,M,N,N,0,157500.0,1,0.022625,
100309,0,Cash loans,F,N,Y,0,157500.0,1,0.0105,
100310,0,Cash loans,M,N,N,0,180000.0,1,0.018029,
100313,0,Cash loans,F,N,Y,0,87750.0,1,0.019101,
100314,0,Cash loans,M,N,N,2,292500.0,1,0.01885,
100315,0,Cash loans,F,Y,Y,1,121500.0,1,0.018029,65.0
100316,0,Cash loans,F,N,Y,0,67500.0,1,0.005002,
100317,0,Cash loans,F,N,Y,0,180000.0,1,0.030755,
100318,0,Cash loans,F,N,N,0,90000.0,1,0.018209,
100319,0,Cash loans,F,N,Y,1,135000.0,1,0.022625,
100320,0,Cash loans,M,Y,Y,0,225000.0,1,0.025164,6.0
100321,0,Cash loans,M,Y,N,1,270000.0,1,0.019689,1.0
100322,0,Cash loans,M,Y,Y,2,225000.0,1,0.00733,20.0
100323,0,Cash loans,M,Y,Y,0,450000.0,1,0.026392,3.0
100324,0,Cash loans,F,Y,Y,1,112500.0,1,0.003069,1.0
100325,0,Cash loans,F,N,Y,0,135000.0,1,0.031329,
100326,1,Cash loans,M,Y,Y,0,36000.0,1,0.018209,27.0
100327,0,Cash loans,M,Y,Y,0,180000.0,1,0.020713,3.0
100328,0,Cash loans,F,N,N,1,171000.0,1,0.00496,
100329,0,Cash loans,F,Y,Y,0,135000.0,1,0.006852,19.0
100332,0,Cash loans,F,N,Y,0,157500.0,1,0.031329,
100333,0,Cash loans,F,N,Y,0,382500.0,1,0.072508,
100334,0,Cash loans,M,N,Y,0,90000.0,1,0.035792000000000004,
100335,0,Cash loans,F,N,Y,0,63000.0,1,0.035792000000000004,
100336,1,Cash loans,F,Y,Y,0,157500.0,1,0.02461,5.0
100337,0,Cash loans,F,N,Y,0,270000.0,1,0.04622,
100338,0,Cash loans,F,N,N,0,270000.0,1,0.008019,
100339,0,Revolving loans,M,N,Y,0,166500.0,1,0.011703,
100340,0,Cash loans,F,N,N,2,202500.0,1,0.04622,
100341,0,Cash loans,M,Y,Y,0,76500.0,1,0.031329,28.0
100342,0,Cash loans,M,N,N,0,90000.0,1,0.008865999999999999,
100343,0,Cash loans,M,Y,Y,0,315000.0,1,0.0228,2.0
100344,0,Cash loans,M,N,N,0,112500.0,1,0.032561,
100345,0,Cash loans,F,N,N,0,157500.0,1,0.019101,
100346,0,Cash loans,F,N,Y,0,180000.0,1,0.02461,
100347,0,Cash loans,F,N,N,0,81000.0,1,0.018801,
100348,0,Cash loans,F,N,N,0,135000.0,1,0.032561,
100349,0,Cash loans,F,N,N,0,108000.0,1,0.009334,
100350,0,Cash loans,F,N,Y,0,112500.0,1,0.0105,
100351,0,Cash loans,F,N,N,0,69750.0,1,0.014519999999999996,
100353,0,Cash loans,F,N,Y,0,81000.0,1,0.031329,
100354,0,Revolving loans,F,N,Y,1,112500.0,1,0.018209,
100355,0,Cash loans,M,N,Y,0,315000.0,1,0.003813,
100356,0,Cash loans,F,N,Y,0,180000.0,1,0.006305,
100357,0,Revolving loans,F,N,Y,0,225000.0,1,0.04622,
100359,0,Cash loans,M,Y,Y,1,112500.0,1,0.025164,12.0
100360,0,Revolving loans,F,N,N,0,67500.0,1,0.025164,
100361,0,Cash loans,M,N,Y,0,270000.0,1,0.007273999999999998,
100362,0,Cash loans,F,N,Y,1,157500.0,1,0.031329,
100363,0,Cash loans,F,Y,Y,1,360000.0,1,0.006629,6.0
100364,0,Cash loans,F,N,N,0,315000.0,1,0.019101,
100365,0,Cash loans,F,N,Y,0,247500.0,1,0.010032,
100366,0,Revolving loans,M,Y,Y,0,765000.0,1,0.002506,3.0
100368,0,Cash loans,F,N,Y,0,166500.0,1,0.035792000000000004,
100369,0,Cash loans,F,N,Y,0,157500.0,1,0.0105,
100370,0,Cash loans,F,N,Y,0,45000.0,1,0.028663,
100371,0,Cash loans,F,Y,Y,1,450000.0,1,0.072508,1.0
100372,0,Cash loans,F,N,N,0,90000.0,1,0.015221,
100373,0,Cash loans,F,N,N,0,225000.0,1,0.030755,
100374,0,Cash loans,F,Y,Y,2,112500.0,1,0.003813,17.0
100375,0,Cash loans,M,N,Y,0,180000.0,1,0.006305,
100376,0,Cash loans,M,Y,Y,0,360000.0,1,0.018801,17.0
100377,0,Cash loans,M,N,N,2,157500.0,1,0.009549,
100378,0,Cash loans,F,Y,Y,1,247500.0,1,0.008575,3.0
100379,0,Cash loans,M,Y,Y,0,112500.0,1,0.009657,22.0
100380,0,Cash loans,F,N,Y,0,630000.0,1,0.072508,
100381,0,Cash loans,F,N,N,0,121500.0,1,0.018029,
100383,0,Cash loans,M,Y,N,2,180000.0,1,0.019101,22.0
100387,0,Cash loans,M,Y,Y,2,292500.0,1,0.003069,8.0
100388,0,Cash loans,F,N,Y,0,99000.0,1,0.00702,
100389,0,Cash loans,M,Y,Y,0,247500.0,1,0.006207,13.0
100390,0,Cash loans,F,N,N,0,90000.0,1,0.00702,
100391,0,Cash loans,F,N,Y,1,153000.0,1,0.015221,
100392,0,Revolving loans,M,Y,N,2,180000.0,1,0.020246,17.0
100393,0,Cash loans,M,Y,Y,2,405000.0,1,0.007114,6.0
100394,0,Cash loans,M,N,Y,0,112500.0,1,0.035792000000000004,
100395,0,Cash loans,M,Y,Y,0,225000.0,1,0.072508,12.0
100396,1,Cash loans,M,N,N,0,112500.0,1,0.025164,
100397,0,Cash loans,F,N,Y,0,144000.0,1,0.006233,
100398,0,Cash loans,F,N,Y,0,81000.0,1,0.030755,
100400,0,Cash loans,F,N,N,0,270000.0,1,0.020246,
100401,1,Cash loans,F,N,Y,0,202500.0,1,0.010966,
100402,0,Cash loans,F,N,Y,0,81000.0,1,0.005144,
100403,0,Cash loans,M,Y,Y,0,315000.0,1,0.008575,1.0
100405,0,Cash loans,M,Y,Y,0,180000.0,1,0.010643,12.0
100406,0,Cash loans,F,N,Y,0,135000.0,1,0.010006,
100407,0,Cash loans,F,N,N,0,157500.0,1,0.031329,
100408,0,Cash loans,F,N,Y,0,81000.0,1,0.026392,
100409,0,Cash loans,M,N,Y,0,112500.0,1,0.026392,
100410,0,Cash loans,F,Y,N,0,180000.0,1,0.032561,10.0
100411,0,Cash loans,M,Y,N,1,450000.0,1,0.009334,9.0
100412,0,Cash loans,F,Y,Y,2,135000.0,1,0.011703,21.0
100413,0,Cash loans,M,N,Y,0,90000.0,1,0.019101,
100414,0,Cash loans,F,N,Y,0,112500.0,1,0.018634,
100415,0,Cash loans,F,N,Y,2,112500.0,1,0.014464,
100417,0,Cash loans,F,N,Y,0,180000.0,1,0.035792000000000004,
100418,0,Cash loans,F,N,N,0,135000.0,1,0.00963,
100419,0,Cash loans,F,N,Y,0,112500.0,1,0.031329,
100420,0,Cash loans,F,N,Y,3,54000.0,1,0.02461,
100421,0,Cash loans,M,Y,N,0,450000.0,1,0.072508,4.0
100423,0,Cash loans,F,Y,Y,0,472500.0,1,0.04622,6.0
100424,1,Cash loans,M,N,Y,0,112500.0,1,0.01885,
100425,0,Cash loans,F,Y,Y,2,90000.0,1,0.025164,64.0
100427,0,Cash loans,F,N,N,1,67500.0,1,0.030755,
100428,0,Cash loans,F,Y,Y,0,90000.0,1,0.007305,18.0
100429,0,Cash loans,M,N,Y,0,180000.0,1,0.035792000000000004,
100430,0,Cash loans,F,N,Y,1,90000.0,1,0.01885,
100431,0,Cash loans,F,N,Y,1,157500.0,1,0.022625,
100432,0,Cash loans,F,N,N,0,90000.0,1,0.010556,
100433,0,Cash loans,F,N,Y,1,157500.0,1,0.019689,
100434,0,Cash loans,F,N,Y,1,202500.0,1,0.072508,
100435,0,Cash loans,F,N,Y,0,112500.0,1,0.035792000000000004,
100436,0,Revolving loans,F,N,Y,0,112500.0,1,0.035792000000000004,
100437,0,Cash loans,F,N,Y,1,67500.0,1,0.035792000000000004,
100439,1,Cash loans,M,N,Y,0,81000.0,1,0.01885,
100440,0,Cash loans,F,N,Y,0,40500.0,1,0.00733,
100441,0,Cash loans,F,N,Y,0,135000.0,1,0.009549,
100442,0,Cash loans,F,N,N,0,148500.0,1,0.00496,
100443,0,Cash loans,F,N,Y,0,144000.0,1,0.010147,
100448,0,Cash loans,F,N,Y,2,202500.0,1,0.00823,
100449,0,Cash loans,F,N,Y,0,157500.0,1,0.030755,
100451,0,Cash loans,F,N,Y,0,144000.0,1,0.00702,
100452,1,Cash loans,M,N,Y,1,171000.0,1,0.025164,
100453,0,Cash loans,M,Y,N,2,247500.0,1,0.008865999999999999,6.0
100454,0,Revolving loans,M,Y,Y,3,607500.0,1,0.032561,2.0
100455,0,Cash loans,F,Y,Y,2,135000.0,1,0.030755,8.0
100456,0,Cash loans,M,Y,Y,1,211500.0,1,0.019101,14.0
100457,0,Revolving loans,F,Y,Y,0,211500.0,1,0.006008,7.0
100458,0,Cash loans,F,N,N,0,90000.0,1,0.020713,
100459,0,Revolving loans,M,Y,Y,0,270000.0,1,0.04622,6.0
100460,0,Revolving loans,F,N,N,0,315000.0,1,0.014464,
100461,0,Cash loans,F,Y,Y,0,252000.0,1,0.007114,15.0
100462,0,Cash loans,M,N,N,0,111919.5,1,0.018209,
