SK_ID_CURR,SK_ID_BUREAU,DAYS_CREDIT
262765,5714917,-2395
262765,5714919,-1441
262765,5714921,-1441
452711,5714925,-2641
452711,5714926,-2272
452711,5714928,-744
452711,5714929,-2400
452711,5714930,-1288
374159,5714931,-1482
456062,5714932,-1036
299495,5714936,-1638
299495,5714937,-681
299495,5714939,-707
299495,5714940,-334
282297,5714943,-2712
282297,5714944,-789
282297,5714945,-907
282297,5714947,-419
282297,5714948,-158
282297,5714952,-2614
282297,5714953,-1797
282297,5714954,-49
331446,5714955,-855
331446,5714956,-607
331446,5714957,-497
331446,5714958,-405
331446,5714960,-229
159650,5714961,-144
159650,5714962,-781
273814,5714963,-392
273814,5714965,-751
273814,5714967,-508
273814,5714968,-186
273814,5714969,-1075
192645,5714971,-166
132745,5714972,-2789
132745,5714973,-2689
132745,5714974,-224
132745,5714975,-1239
381884,5714977,-2753
228839,5714979,-570
221368,5714982,-249
221368,5714983,-64
256578,5714984,-2377
256578,5714985,-1981
256578,5714986,-489
256578,5714987,-1635
256578,5714989,-111
256578,5714990,-1354
414912,5714992,-2910
414912,5714993,-1165
414912,5714995,-2644
414912,5714996,-515
414912,5714997,-752
414912,5714998,-757
414912,5714999,-97
414912,5715000,-2527
414912,5715001,-2643
414912,5715003,-1036
414912,5715004,-476
414912,5715005,-848
414912,5715006,-784
414912,5715007,-575
414912,5715008,-483
414912,5715009,-246
391685,5715011,-423
391685,5715013,-446
391685,5715014,-1902
317276,5715015,-681
317276,5715016,-1050
317276,5715017,-417
115001,5715021,-2784
115001,5715022,-704
115001,5715023,-738
115001,5715024,-174
115001,5715025,-1323
115001,5715026,-454
115001,5715028,-265
115001,5715029,-339
233056,5715031,-2910
233056,5715032,-2854
233056,5715033,-2724
233056,5715034,-2349
233056,5715035,-2173
233056,5715036,-1005
233056,5715038,-482
233056,5715039,-2873
233056,5715042,-1381
233056,5715044,-33
346739,5715045,-936
346739,5715046,-2070
346739,5715047,-404
346739,5715048,-546
221642,5715049,-900
221642,5715050,-217
205426,5715051,-2643
205426,5715054,-1166
205426,5715055,-1680
205426,5715056,-2266
205426,5715057,-1883
205426,5715058,-185
205426,5715059,-2653
205426,5715060,-2282
205426,5715062,-289
432545,5715063,-2433
432545,5715064,-2371
432545,5715065,-1921
432545,5715066,-2250
432545,5715067,-509
432545,5715068,-80
432545,5715069,-2432
118247,5715070,-1799
118247,5715072,-2022
118247,5715073,-1463
118247,5715074,-1071
118247,5715075,-966
118247,5715076,-642
118247,5715077,-484
166350,5715078,-2293
166350,5715079,-741
166350,5715080,-854
166350,5715081,-676
388014,5715083,-1089
388014,5715084,-356
388014,5715085,-724
388014,5715086,-387
388014,5715087,-726
388014,5715088,-434
388014,5715089,-183
388014,5715090,-71
189122,5715093,-2688
189122,5715094,-2826
189122,5715096,-325
189122,5715097,-1711
189122,5715098,-2397
189122,5715099,-1351
166358,5715100,-1874
166358,5715101,-1768
166358,5715103,-1377
166358,5715104,-1042
166358,5715105,-784
166358,5715106,-598
166358,5715107,-439
166358,5715108,-124
157200,5715109,-601
157200,5715110,-313
157200,5715112,-511
157200,5715113,-447
157200,5715114,-170
142568,5715115,-50
142568,5715116,-1077
142568,5715118,-1610
356727,5715121,-2135
356727,5715122,-753
356727,5715123,-1350
356727,5715124,-2852
356727,5715126,-1606
356727,5715128,-2324
356727,5715129,-1280
356727,5715130,-49
250551,5715131,-955
250551,5715132,-1103
250551,5715133,-1164
224915,5715135,-1249
224915,5715136,-244
224915,5715137,-244
323674,5715138,-386
323674,5715139,-2670
122858,5715140,-1190
122858,5715141,-1244
122858,5715142,-895
122858,5715143,-538
212939,5715144,-455
212939,5715146,-627
212939,5715147,-643
307734,5715148,-503
307734,5715149,-802
307734,5715150,-668
307734,5715151,-1880
307734,5715153,-872
307734,5715154,-619
307734,5715155,-412
307734,5715156,-1929
307734,5715158,-125
307734,5715159,-1896
307734,5715160,-916
161678,5715161,-2301
161678,5715162,-1554
161678,5715163,-1553
161678,5715164,-1636
161678,5715165,-1319
300388,5715166,-1414
434409,5715169,-1358
281436,5715171,-388
281436,5715172,-90
281436,5715173,-405
371200,5715174,-348
371200,5715175,-1046
311907,5715176,-250
311907,5715177,-180
309299,5715178,-2393
309299,5715179,-743
309299,5715180,-98
309299,5715181,-1208
323982,5715182,-1474
323982,5715183,-1825
369526,5715185,-2595
369526,5715186,-1509
283548,5715189,-1158
283548,5715190,-1199
283548,5715192,-856
283548,5715193,-590
443948,5715194,-273
443948,5715195,-2092
417740,5715196,-2216
417740,5715197,-1879
417740,5715198,-2711
388317,5715199,-971
388317,5715200,-2285
388317,5715201,-278
217477,5715203,-836
217477,5715204,-638
217477,5715205,-656
217477,5715206,-756
310813,5715207,-1670
416471,5715211,-1357
416471,5715212,-685
416471,5715214,-1609
416471,5715215,-1146
416471,5715216,-607
271124,5715217,-97
271124,5715218,-97
271124,5715219,-566
271124,5715220,-280
271124,5715221,-2156
205808,5715222,-2650
205808,5715223,-2524
205808,5715226,-322
205808,5715227,-1115
205808,5715228,-1707
205808,5715229,-1548
205808,5715231,-256
400520,5715232,-1076
400520,5715233,-1346
400520,5715234,-1654
400520,5715235,-661
400520,5715236,-1187
295877,5715238,-1039
295877,5715239,-235
295877,5715240,-1546
295877,5715241,-760
295877,5715242,-682
295877,5715243,-326
295877,5715244,-48
314239,5715245,-33
314239,5715246,-852
314239,5715248,-243
172376,5715249,-594
172376,5715250,-594
172376,5715252,-672
172376,5715253,-1043
172376,5715254,-1603
172376,5715255,-572
172376,5715256,-409
172376,5715257,-388
172376,5715258,-355
172376,5715260,-60
172376,5715261,-1602
172376,5715262,-1285
172376,5715263,-1042
172376,5715264,-821
172376,5715265,-735
172376,5715266,-728
172376,5715267,-509
253382,5715269,-1750
253382,5715270,-1637
253382,5715271,-1542
253382,5715272,-897
253382,5715273,-1431
295483,5715274,-627
295483,5715275,-117
295483,5715277,-1021
295483,5715278,-747
295483,5715279,-531
295483,5715280,-104
182005,5715285,-1083
182005,5715286,-667
182005,5715287,-696
182005,5715288,-667
345257,5715289,-1358
345257,5715290,-611
251484,5715294,-2914
251484,5715295,-2809
251484,5715296,-2444
251484,5715297,-1147
251484,5715298,-1126
251484,5715299,-606
251484,5715301,-2526
251484,5715302,-2320
251484,5715304,-1123
251484,5715305,-1091
251484,5715306,-298
356271,5715307,-320
249072,5715310,-2828
249072,5715311,-2415
249072,5715313,-1612
249072,5715314,-1101
249072,5715315,-898
249072,5715317,-778
249072,5715318,-1743
249072,5715319,-1742
377562,5715320,-928
377562,5715321,-2007
377562,5715322,-2120
377562,5715323,-2359
377562,5715324,-2240
377562,5715325,-451
377562,5715327,-2245
203465,5715330,-2726
203465,5715331,-2129
203465,5715332,-1647
203465,5715333,-1180
203465,5715334,-185
203465,5715335,-177
189495,5715337,-756
189495,5715338,-1152
189495,5715339,-128
189495,5715340,-562
223895,5715341,-1409
223895,5715342,-1409
223895,5715343,-489
223895,5715344,-2721
223895,5715345,-465
223895,5715347,-1090
223895,5715348,-476
223895,5715349,-2720
223895,5715350,-1117
223895,5715351,-992
223895,5715352,-2773
223895,5715353,-251
223895,5715354,-103
301065,5715355,-2569
301065,5715356,-615
301065,5715357,-615
119452,5715359,-2251
119452,5715360,-1620
119452,5715361,-260
119452,5715362,-114
432127,5715363,-2894
432127,5715364,-2796
432127,5715365,-2518
432127,5715367,-2246
291159,5715371,-2906
291159,5715372,-2821
291159,5715374,-1779
291159,5715375,-1013
291159,5715376,-1519
291159,5715377,-2484
291159,5715378,-1851
291159,5715379,-119
119306,5715380,-1040
119306,5715381,-243
119306,5715382,-648
441717,5715383,-1150
441717,5715384,-1262
431472,5715386,-1092
431472,5715387,-2787
431472,5715388,-2214
431472,5715389,-2850
431472,5715390,-1766
431472,5715391,-1561
431472,5715392,-1396
431472,5715393,-1391
431472,5715395,-1196
431472,5715396,-2737
431472,5715397,-2317
420236,5715398,-871
420236,5715399,-1181
420236,5715400,-1087
420236,5715401,-1656
420236,5715402,-329
420236,5715403,-1169
420236,5715405,-1331
420236,5715406,-1215
420236,5715407,-1651
420236,5715409,-179
420236,5715410,-1573
420236,5715411,-943
381062,5715412,-1048
381062,5715413,-1319
381062,5715414,-1229
381062,5715415,-266
194572,5715416,-871
194572,5715417,-1945
194572,5715418,-109
147546,5715420,-1337
342165,5715422,-1293
342165,5715423,-1874
342165,5715424,-533
342165,5715425,-957
342165,5715426,-190
232982,5715428,-1809
327043,5715429,-46
327043,5715430,-66
327043,5715431,-95
327043,5715432,-122
327043,5715433,-137
327043,5715434,-155
327043,5715435,-5
327043,5715437,-13
327043,5715438,-38
327043,5715440,-99
327043,5715441,-70
327043,5715442,-157
327043,5715443,-81
327043,5715444,-8
327043,5715445,-132
380361,5715448,-820
380361,5715449,-357
380361,5715451,-917
380361,5715452,-993
380361,5715453,-1146
380361,5715454,-1622
380361,5715455,-2631
380361,5715456,-1449
380361,5715457,-222
380361,5715458,-749
380361,5715459,-629
380361,5715460,-233
380361,5715461,-112
125263,5715463,-462
408647,5715465,-721
408647,5715466,-2365
408647,5715467,-1323
408647,5715468,-313
408647,5715469,-561
275240,5715470,-2341
275240,5715471,-2467
275240,5715472,-1147
399518,5715473,-941
399518,5715474,-896
215382,5715475,-534
215382,5715476,-1645
401081,5715478,-251
401081,5715479,-614
401081,5715480,-360
291600,5715482,-684
291600,5715483,-689
291600,5715484,-2309
291600,5715485,-2394
291600,5715486,-1619
291600,5715487,-342
291600,5715488,-100
359759,5715489,-2431
359759,5715490,-1263
359759,5715491,-1628
359759,5715492,-1468
359759,5715495,-1627
359759,5715496,-2430
359759,5715498,-2918
359759,5715499,-2595
359759,5715500,-2379
359759,5715501,-850
387252,5715502,-2911
387252,5715503,-1490
279707,5715504,-531
279707,5715505,-127
298038,5715506,-573
298038,5715507,-291
298038,5715508,-320
298038,5715509,-760
298038,5715510,-586
192801,5715511,-1042
417125,5715512,-1855
417125,5715513,-1058
417125,5715514,-298
417125,5715516,-1211
417125,5715517,-779
417125,5715518,-658
417125,5715519,-359
448798,5715521,-319
311464,5715522,-1863
311464,5715523,-566
311464,5715524,-350
311464,5715525,-2093
311464,5715527,-1352
311464,5715528,-106
400434,5715529,-1910
400434,5715530,-697
400434,5715531,-377
327826,5715532,-78
327826,5715533,-1158
200527,5715534,-1075
200527,5715535,-1666
200527,5715536,-1208
200527,5715537,-824
393321,5715538,-264
393321,5715539,-228
393321,5715540,-146
348319,5715542,-482
427773,5715543,-748
427773,5715544,-824
427773,5715545,-287
328955,5715546,-637
332942,5715547,-1490
332942,5715548,-711
332942,5715549,-632
332942,5715550,-608
332942,5715552,-393
332942,5715553,-303
367696,5715554,-1085
367696,5715555,-641
367696,5715556,-1057
101060,5715559,-1087
101060,5715560,-709
101060,5715561,-886
101060,5715564,-2632
357810,5715565,-931
245970,5715566,-334
245970,5715567,-983
281040,5715569,-2375
281040,5715570,-824
281040,5715572,-1237
281040,5715573,-1490
281040,5715574,-1886
281040,5715576,-298
281040,5715577,-589
281040,5715578,-1001
281040,5715579,-617
281040,5715580,-2621
281040,5715581,-937
124718,5715585,-2610
124718,5715586,-1498
124718,5715588,-172
298496,5715589,-1031
298496,5715590,-1002
298496,5715591,-1039
298496,5715592,-1038
296586,5715593,-1207
296586,5715594,-1470
296586,5715595,-1567
296586,5715596,-2045
296586,5715597,-452
296586,5715598,-1652
296586,5715599,-1566
296586,5715600,-359
190334,5715601,-1988
190334,5715603,-1218
190334,5715604,-372
190334,5715605,-1364
190334,5715606,-2108
190334,5715607,-2320
190334,5715608,-1691
190334,5715609,-1578
190334,5715610,-518
157377,5715611,-2349
157377,5715612,-1353
157377,5715613,-41
157377,5715614,-2348
157377,5715615,-1140
157377,5715616,-806
157377,5715617,-211
157377,5715618,-2303
157377,5715619,-2239
157377,5715620,-1709
157377,5715621,-1559
157377,5715622,-232
157377,5715623,-21
250967,5715624,-706
250967,5715625,-658
250967,5715626,-193
250967,5715628,-2395
250967,5715629,-1394
104261,5715630,-587
388017,5715632,-1949
388017,5715633,-2461
388017,5715634,-2461
388017,5715635,-376
388017,5715636,-49
213544,5715637,-79
213544,5715638,-1105
213544,5715639,-1231
213544,5715640,-1761
213544,5715641,-63
213544,5715642,-1593
380677,5715645,-2659
380677,5715647,-1136
380677,5715648,-1136
380677,5715649,-539
380677,5715650,-1135
380677,5715651,-493
380677,5715652,-156
181753,5715653,-1844
181753,5715654,-1702
335098,5715656,-448
335098,5715657,-1356
335098,5715658,-1555
335098,5715659,-2028
206782,5715660,-825
206782,5715661,-1973
206782,5715662,-1707
306329,5715663,-404
306329,5715664,-405
127759,5715666,-558
127759,5715667,-524
127759,5715668,-981
240790,5715670,-1873
240790,5715671,-1438
240790,5715672,-2440
240790,5715673,-1477
138133,5715674,-2673
138133,5715675,-2505
138133,5715676,-1092
138133,5715677,-2668
138133,5715678,-845
138133,5715679,-755
138133,5715680,-539
429972,5715681,-630
429972,5715682,-504
429972,5715683,-85
429972,5715684,-188
429972,5715686,-42
429972,5715687,-740
429972,5715688,-460
429972,5715689,-274
325662,5715691,-582
325662,5715692,-20
453027,5715694,-1495
453027,5715696,-1196
453027,5715697,-101
453027,5715698,-1193
453027,5715699,-1144
136270,5715700,-107
286870,5715701,-2157
286870,5715702,-875
286870,5715703,-242
120474,5715704,-1023
120474,5715705,-342
120474,5715706,-1226
120474,5715707,-1026
120474,5715708,-897
394070,5715709,-2147
394070,5715710,-56
394070,5715711,-2148
394070,5715712,-831
394070,5715713,-801
285342,5715714,-110
285342,5715715,-414
337758,5715716,-2744
337758,5715717,-2308
337758,5715718,-1310
287088,5715719,-2787
287088,5715721,-2638
287088,5715722,-2517
287088,5715723,-1551
220033,5715725,-362
220033,5715727,-2295
220033,5715728,-2295
220033,5715729,-1483
220033,5715730,-1477
220033,5715731,-1238
220033,5715732,-565
220033,5715733,-250
220033,5715734,-69
194559,5715735,-2893
194559,5715736,-894
194559,5715738,-785
194559,5715739,-862
194559,5715740,-376
194559,5715741,-1432
194559,5715742,-783
291292,5715743,-2411
291292,5715744,-1667
291292,5715745,-1144
291292,5715746,-2822
291292,5715747,-1223
291292,5715748,-1666
291292,5715749,-1269
291292,5715750,-941
291292,5715751,-757
291292,5715752,-613
291292,5715753,-526
254062,5715754,-831
254062,5715755,-2694
254062,5715756,-2631
254062,5715757,-634
254062,5715758,-2637
254062,5715759,-963
254062,5715760,-1225
237164,5715762,-1033
237164,5715763,-1098
381254,5715764,-263
381254,5715765,-258
278708,5715766,-614
278708,5715767,-567
278708,5715768,-494
235604,5715769,-2492
235604,5715771,-2478
235604,5715772,-51
235604,5715773,-75
235604,5715774,-82
235604,5715775,-86
235604,5715776,-30
235604,5715777,-1203
235604,5715778,-408
235604,5715779,-2056
235604,5715780,-111
284085,5715782,-536
284085,5715783,-468
284085,5715784,-360
273869,5715785,-527
273869,5715786,-714
273869,5715787,-1515
273869,5715788,-1734
273869,5715789,-1005
273869,5715790,-1078
273869,5715791,-527
370938,5715793,-1455
370938,5715794,-1496
370938,5715795,-1157
370938,5715796,-1129
370938,5715797,-802
183382,5715800,-2505
183382,5715801,-1587
183382,5715802,-1138
113548,5715803,-151
113548,5715804,-151
113548,5715805,-133
113548,5715806,-344
387522,5715807,-824
387522,5715808,-959
387522,5715809,-861
387522,5715810,-650
387522,5715811,-617
387522,5715812,-404
312925,5715813,-1264
312925,5715814,-2920
312925,5715815,-2920
312925,5715816,-406
427471,5715817,-321
427471,5715818,-1399
427471,5715819,-321
427471,5715820,-504
427471,5715821,-1224
427471,5715822,-1194
427471,5715823,-559
427471,5715824,-250
278144,5715827,-2800
278144,5715829,-2062
278144,5715830,-1490
278144,5715831,-1462
221655,5715832,-665
221655,5715833,-1260
221655,5715834,-181
221655,5715835,-1260
221655,5715836,-2292
221655,5715837,-665
221655,5715838,-1076
221655,5715839,-2365
136980,5715840,-1376
136980,5715841,-1209
136980,5715842,-236
136980,5715843,-1216
136980,5715844,-889
136980,5715845,-1687
284019,5715846,-1202
287268,5715847,-693
287268,5715848,-694
287268,5715849,-47
117740,5715850,-481
117740,5715851,-430
117740,5715852,-242
171104,5715853,-205
251451,5715854,-1215
251451,5715855,-1077
251451,5715857,-1607
251451,5715858,-2719
251451,5715859,-1252
251451,5715860,-1175
251451,5715861,-2112
382758,5715862,-1571
382758,5715863,-1082
382758,5715864,-952
382758,5715865,-221
382758,5715866,-1463
382758,5715867,-337
251451,5715868,-1302
251451,5715869,-1032
251451,5715870,-1127
251451,5715871,-2361
251451,5715873,-870
112918,5715874,-1133
112918,5715875,-875
112918,5715876,-672
287332,5715877,-396
287332,5715878,-1402
287332,5715879,-132
287332,5715880,-443
377029,5715881,-627
377029,5715882,-809
377029,5715883,-809
246557,5715884,-1193
246557,5715885,-1405
246557,5715886,-1170
246557,5715887,-2906
439104,5715888,-2685
439104,5715889,-748
439104,5715890,-1071
439104,5715891,-1955
439104,5715892,-2682
439104,5715893,-1072
439104,5715894,-1433
439104,5715895,-1432
439104,5715896,-1694
439104,5715897,-408
439104,5715898,-1954
439104,5715899,-2760
439104,5715900,-1840
439104,5715901,-1380
439104,5715902,-582
406913,5715905,-1297
406913,5715907,-1592
406913,5715908,-468
165946,5715909,-2331
165946,5715910,-1280
165946,5715911,-1903
165946,5715912,-280
165946,5715913,-131
165946,5715914,-460
165946,5715915,-1426
165946,5715916,-1646
315173,5715917,-1813
315173,5715919,-867
315173,5715920,-867
315173,5715921,-867
315173,5715922,-1812
315173,5715923,-1707
315173,5715924,-211
404014,5715925,-1028
404014,5715926,-1056
404014,5715927,-1059
404014,5715928,-352
404014,5715929,-18
404014,5715930,-17
328732,5715931,-511
388298,5715932,-994
388298,5715933,-319
388298,5715934,-624
388298,5715935,-832
388298,5715936,-993
388298,5715937,-827
388298,5715938,-795
388298,5715939,-712
388298,5715941,-551
388298,5715942,-440
388298,5715943,-314
281741,5715944,-142
281741,5715945,-406
281741,5715946,-509
281741,5715947,-623
146584,5715948,-1997
146584,5715949,-616
146584,5715950,-1479
324653,5715953,-204
324653,5715954,-420
324653,5715955,-2221
324653,5715956,-1506
324653,5715957,-1163
324653,5715959,-398
324653,5715960,-99
324653,5715961,-258
104166,5715964,-1210
104166,5715965,-2178
104166,5715966,-1163
104166,5715967,-372
104166,5715969,-579
104166,5715971,-179
104166,5715972,-2683
104166,5715973,-1209
104166,5715974,-861
104166,5715975,-254
438643,5715976,-653
438643,5715977,-805
438643,5715979,-1016
438643,5715980,-1636
438643,5715981,-877
438643,5715982,-769
438643,5715983,-1501
438643,5715984,-840
438643,5715985,-712
438643,5715986,-419
141059,5715989,-1023
141059,5715990,-168
141059,5715991,-701
141059,5715992,-243
141059,5715993,-1301
141059,5715994,-464
117081,5715996,-383
117081,5715997,-200
261073,5715998,-628
261073,5715999,-1509
261073,5716000,-1508
202808,5716002,-1201
225097,5716003,-1848
225097,5716004,-2567
225097,5716005,-1666
128259,5716006,-455
277352,5716008,-2827
271561,5716009,-2329
271561,5716010,-2767
385277,5716012,-1538
385277,5716013,-986
385277,5716014,-250
385277,5716015,-133
385277,5716016,-1574
385277,5716017,-1986
385277,5716019,-1051
453585,5716020,-1184
108357,5716021,-863
108357,5716022,-1763
108357,5716023,-2165
108357,5716024,-866
108357,5716025,-443
108357,5716026,-129
354422,5716028,-275
354422,5716029,-750
354422,5716030,-1265
354422,5716031,-1331
354422,5716032,-783
354422,5716034,-78
226474,5716035,-994
226474,5716036,-2800
226474,5716037,-2637
226474,5716038,-743
170937,5716042,-1418
170937,5716044,-277
170937,5716045,-2640
387017,5716046,-860
387017,5716047,-643
158282,5716049,-183
158282,5716050,-183
283850,5716051,-1489
283850,5716052,-1289
283850,5716053,-329
283850,5716054,-2014
283850,5716055,-621
283850,5716056,-330
283850,5716057,-810
299829,5716059,-415
299829,5716060,-1764
299829,5716061,-506
299829,5716062,-828
299829,5716063,-198
327983,5716064,-730
302664,5716065,-253
299700,5716067,-2252
299700,5716068,-957
299700,5716069,-492
299700,5716070,-453
299700,5716071,-392
299700,5716072,-287
299700,5716074,-266
299700,5716075,-243
299700,5716076,-243
234309,5716077,-428
234309,5716078,-427
234309,5716079,-152
234309,5716080,-593
340956,5716081,-1051
340956,5716082,-853
212159,5716084,-1400
212159,5716086,-1229
212159,5716087,-1399
212159,5716088,-518
212159,5716089,-463
